R.U.N. del Fondo,Nombre Fondo Inversión,Tipo de Fondo de Inversión,R.U.T. Administradora,Fecha Resolución de aprobación del reglamento interno del fondo,Fecha Inicio Operaciones
9642-3,COMPASS VEPF VII PRIVATE EQUITY FONDO DE INVERSION,No Rescatable,96804330-7,2/8/2018,22/01/2019
9347-5,CORP INMOBILIARIO V FONDO DE INVERSION,No Rescatable,96980650-9,23/07/2016,26/10/2016
9739-K,ECONSULT BIF IV INFRASTRUCTURE FONDO DE INVERSION,No Rescatable,96993150-8,18/04/2019,
9592-3,ECONSULT BSREP III FONDO DE INVERSION,No Rescatable,96993150-8,28/03/2018,8/4/2019
7002-5,FONDO DE INV. INMOBILIARIA CIMENTA-EXPANSION,No Rescatable,96601710-4,20/05/1991,23/08/1991
7009-2,FONDO DE INVERSION LLAIMA EN LIQUIDACION,No Rescatable,96690790-8,29/09/1994,30/09/1994
9635-0,FONDO DE INVERSION ACTIVA ESTRATEGIA AUTOMOTRIZ,No Rescatable,76081215-3,12/7/2018,1/10/2018
9417-K,FONDO DE INVERSION ALTAMAR SECONDARIES IX,No Rescatable,76429904-3,11/1/2017,2/5/2017
9660-1,FONDO DE INVERSION ALTIS - LS 11,No Rescatable,76551925-K,25/09/2018,7/5/2019
9069-7,FONDO DE INVERSION ASSET RENTAS RESIDENCIALES,No Rescatable,76172904-7,30/06/2014,30/06/2014
7256-7,FONDO DE INVERSION BANCHILE INMOBILIARIO VI,No Rescatable,96767630-6,8/10/2012,30/10/2012
7290-7,FONDO DE INVERSION BANCHILE INMOBILIARIO VII,No Rescatable,96767630-6,7/2/2014,31/03/2014
7205-2,FONDO DE INVERSION BANCHILE PLUSVALIA EFICIENTE,No Rescatable,96767630-6,1/12/2010,19/01/2011
7213-3,FONDO DE INVERSION CHILE BLEND,No Rescatable,96767630-6,21/04/2011,21/04/2011
9743-8,FONDO DE INVERSION CMB-LV INFRAESTRUCTURA III,No Rescatable,96690790-8,4/5/2019,
7202-8,FONDO DE INVERSION COMPASS PRIVATE EQUITY PARTNERS,No Rescatable,96804330-7,11/11/2010,6/1/2011
9442-0,FONDO DE INVERSION CREDICORP CAPITAL - PG RE SECONDARIES I,No Rescatable,99549940-1,5/4/2017,2/8/2017
9438-2,FONDO DE INVERSION CREDICORP CAPITAL - SLP,No Rescatable,99549940-1,24/03/2017,15/09/2017
9468-4,FONDO DE INVERSION CREDICORP CAPITAL PLAZA EGAÑA,No Rescatable,99549940-1,17/06/2017,26/07/2017
9626-1,FONDO DE INVERSION CREDICORP CAPITAL RENTA RESIDENCIAL II,No Rescatable,99549940-1,27/06/2018,29/08/2018
7107-2,FONDO DE INVERSION DESARROLLO INMOBILIARIO 2006,No Rescatable,96753330-0,27/04/2006,12/10/2006
9665-2,FONDO DE INVERSION DESARROLLO INMOBILIARIO PERU - COLOMBIA,No Rescatable,96767630-6,6/10/2018,7/12/2018
9534-6,FONDO DE INVERSION DEUDA ALTO RENDIMIENTO,No Rescatable,96767630-6,11/11/2017,6/12/2017
9520-6,FONDO DE INVERSION DEUDA ARGENTINA,No Rescatable,96767630-6,29/09/2017,6/12/2017
9252-5,FONDO DE INVERSION DEUDA CHILENA,No Rescatable,96767630-6,29/10/2015,30/11/2015
9057-3,FONDO DE INVERSION DEUDA CORPORATIVA 3-5 AÑOS,No Rescatable,96767630-6,15/03/2014,9/4/2014
9374-2,FONDO DE INVERSION DEUDA ENERGÍA COLOMBIANA,No Rescatable,76081215-3,8/9/2016,21/11/2016
9215-0,FONDO DE INVERSION ECUS AGRI-FOOD,No Rescatable,96960970-3,18/07/2015,17/07/2015
9471-4,FONDO DE INVERSION EMERGING EQUITY,No Rescatable,96767630-6,23/06/2017,20/07/2017
9470-6,FONDO DE INVERSION ESTRATEGIAS ALTERNATIVAS,No Rescatable,96767630-6,23/06/2017,25/10/2017
9030-1,FONDO DE INVERSION EUROPE EQUITY,No Rescatable,96767630-6,24/10/2013,12/11/2013
9682-2,FONDO DE INVERSION EUROPEAN VALUE PARTNERS II,No Rescatable,96767630-6,13/11/2018,
7106-4,FONDO DE INVERSION FORESTAL LIGNUM,No Rescatable,76172904-7,3/1/2006,12/4/2006
9342-4,FONDO DE INVERSION FYNSA ALTOS DE COSTA CACHAGUA,No Rescatable,76071197-7,5/7/2016,4/7/2016
9300-9,FONDO DE INVERSION FYNSA DESARROLLO INMOBILIARIO I,No Rescatable,76071197-7,19/02/2016,1/3/2016
9638-5,FONDO DE INVERSION FYNSA DESARROLLO INMOBILIARIO II,No Rescatable,76071197-7,20/07/2018,9/8/2018
7131-5,FONDO DE INVERSION IFUND MSCI BRAZIL SMALL CAP INDEX,No Rescatable,96639280-0,8/10/2007,7/12/2007
7014-9,FONDO DE INVERSION INDEPENDENCIA RENTAS INMOBILIARIAS,No Rescatable,96753330-0,20/04/1995,11/5/1995
9663-6,FONDO DE INVERSION INDEPENDENCIA RENTAS INMOBILIARIAS II,No Rescatable,96753330-0,3/10/2018,
9704-7,FONDO DE INVERSION INFRAESTRUCTURA CHILE I,No Rescatable,96767630-6,4/1/2019,25/01/2019
7016-5,FONDO DE INVERSION INMOBILIARIA CAPITAL ADVISORS FUNDACION PARQUES CEMENTERIOS,No Rescatable,76435792-2,24/02/1995,28/03/1995
9325-4,FONDO DE INVERSION INMOBILIARIO VIII,No Rescatable,96767630-6,26/05/2016,28/06/2016
7255-9,FONDO DE INVERSION INVERSIONES HOTELERAS,No Rescatable,76081215-3,6/9/2012,26/08/2013
9752-7,FONDO DE INVERSION ITAU HMC MEZZANINE,No Rescatable,96980650-9,17/05/2019,
7174-9,FONDO DE INVERSION LARRAIN VIAL - BCP,No Rescatable,76081215-3,31/12/2009,15/02/2011
9448-K,FONDO DE INVERSION LARRAIN VIAL APOLLO IX,No Rescatable,76081215-3,28/04/2017,27/11/2018
